Asset_ID,Asset_Type,Status,Department,Assigned_To,Acquisition_Date,Asset_Age,Warranty_Expiry_Date,Days_to_Warranty_Expiry,Warranty_Status,License_Expiry_Date,Maintenance_Cost,Repair_Count,Repair_Intensity,Is_High_Cost,Vendor_Name,Location,Compliance_Status,OS_Version,P_High_Cost,Age_Norm,Repair_Norm,Warranty_Exp,Risk_Score,Risk_Level
ASSET_0001,Laptop,In Use,Finance,User_066,2025-10-29,0.5,2028-10-29,922,Active,2028-02-29,2994.97,0,0.0,1,Dell,Other,Compliant,Windows 11,0.27131295,0.07936507936507936,0.0,0,0.12,Low
ASSET_0002,Monitor,In Use,IT,User_228,2020-12-20,5.3,2024-06-20,-670,Expired,,401.83,3,0.57,0,Lenovo,Hsinchu,Non-Compliant,Not Applicable,0.25050986,0.8412698412698413,0.019,1,0.47,Medium
ASSET_0003,Server,Stock,R&D,,2023-09-04,2.6,2028-09-04,867,Active,2027-07-04,247.42,3,1.15,0,Dell,Other,At Risk,VMware ESXi,0.85201544,0.41269841269841273,0.03833333333333333,0,0.43,Medium
ASSET_0004,Tablet,In Use,Sales,User_327,2024-02-25,2.2,2026-08-25,126,Active,2025-05-25,164.24,2,0.91,0,Apple,Other,Compliant,iPadOS 18,0.07295869,0.34920634920634924,0.030333333333333334,0,0.11,Low
ASSET_0005,Server,In Use,R&D,User_263,2023-04-04,3.0,2027-04-04,348,Active,2026-08-04,1749.18,2,0.67,1,Dell,Cloud,Compliant,Ubuntu 22.04,0.88489383,0.4761904761904762,0.022333333333333334,0,0.45,Medium
ASSET_0006,Laptop,Retired,Sales,,2022-11-27,3.4,2025-11-27,-145,Expired,2025-02-27,467.09,7,2.06,0,Lenovo,Taichung,Non-Compliant,Windows 11,0.75938356,0.5396825396825397,0.06866666666666667,1,0.63,Medium
ASSET_0007,Laptop,In Use,R&D,User_243,2022-04-19,4.0,2025-04-19,-367,Expired,2024-05-19,1016.09,6,1.5,1,Lenovo,Hsinchu,Non-Compliant,Windows 10,0.880643,0.6349206349206349,0.05,1,0.69,Medium
ASSET_0008,Tablet,In Use,R&D,User_083,2022-08-22,3.7,2024-08-22,-607,Expired,2023-08-22,167.74,3,0.81,0,Apple,Hsinchu,Non-Compliant,iPadOS 18,0.30044663,0.5873015873015873,0.027000000000000003,1,0.44,Medium
ASSET_0009,Server,In Use,IT,,2025-06-13,0.9,2029-06-13,1149,Active,2027-08-13,418.5,2,2.22,0,Cisco,Cloud,Compliant,VMware ESXi,0.07054754,0.14285714285714288,0.07400000000000001,0,0.07,Low
ASSET_0010,Server,In Use,Finance,User_356,2023-10-09,2.5,2027-10-09,536,Active,2027-05-09,1692.81,3,1.2,1,Dell,Other,At Risk,Ubuntu 22.04,0.9028417,0.39682539682539686,0.04,0,0.45,Medium
