Asset_ID,Asset_Type,Assigned_To,Department,Acquisition_Date,Warranty_Expiry_Date,Status,Maintenance_Cost,License_Expiry_Date,Vendor_Name,Location,Compliance_Status,OS_Version,Repair_Count
ASSET_0001,Laptop,User_016,Finance,2025-10-29,2027-11-02,In Use,410.76,2027-11-09,Dell,Other,Compliant,macOS 13,1
ASSET_0002,Monitor,,IT,2020-12-20,2023-02-26,Retired,,,Lenovo,Hsinchu,At Risk,,3
ASSET_0003,Server,,R&D,2023-09-04,2026-09-02,Retired,,,Dell,Other,At Risk,Windows Server 2022,3
ASSET_0004,Tablet,User_327,Sales,2024-02-25,2026-02-17,In Use,280.53,2026-02-23,Apple,Other,At Risk,Win 11,2
ASSET_0005,Server,User_263,R&D,2023-04-04,2028-06-11,In Use,,2025-04-30,Dell,Cloud,At Risk,RHEL 9,1
ASSET_0006,Laptop,User_353,Sales,2022-11-27,2025-12-10,In Use,259.41,2025-12-11,Lenovo,Taichung,At Risk,Win 11,0
ASSET_0007,Laptop,User_281,R&D,2022-04-19,2024-05-08,In Use,645.51,2024-06-07,Lenovo,Hsinchu,At Risk,macOS 13,1
ASSET_0008,Tablet,User_265,R&D,2022-08-22,2024-09-06,In Use,193.18,2023-09-07,Apple,Hsinchu,Non-Compliant,Win 10,1
ASSET_0009,Server,User_143,IT,2025-06-13,2028-09-02,In Use,1955.03,2027-07-15,Cisco,Cloud,Compliant,RHEL 9,1
ASSET_0010,Server,User_033,Finance,2023-10-09,2027-11-28,In Use,1464.25,2025-11-05,Dell,Other,At Risk,Ubuntu 22.04,99
ASSET_0011,Desktop,,Finance,2021-09-04,2024-10-14,Retired,,,Lenovo,Other,At Risk,macOS 14,3
ASSET_0012,Tablet,,Sales,2021-01-22,2023-04-17,Retired,240.54,,Apple,Taipei,Non-Compliant,Win 10,1
ASSET_0013,Desktop,User_187,Operations,2022-10-23,2025-09-22,In Use,533.49,2023-11-30,Lenovo,Taichung,At Risk,macOS 13,2
ASSET_0014,Monitor,,HR,2025-07-15,2027-09-23,Stock,,,HP,Other,Compliant,,1
ASSET_0015,Tablet,User_338,Sales,2021-10-05,2023-10-11,In Use,419.16,2022-11-13,Apple,Other,At Risk,Win 10,3
ASSET_0016,Desktop,,HR,2021-07-19,2023-09-30,Retired,,,Lenovo,Hsinchu,At Risk,Win 11,1
ASSET_0017,Desktop,,Finance,2021-04-19,2024-06-17,Decommissioned,,,Dell,Other,At Risk,macOS 12,0
ASSET_0018,Server,User_004,Finance,2023-06-18,2026-08-29,In Use,3692.54,2024-08-09,Dell,Taipei,At Risk,Ubuntu 22.04,4
ASSET_0019,Monitor,User_021,Finance,2023-04-30,2025-05-20,In Use,128.31,,Lenovo,Other,Compliant,,1
ASSET_0020,Tablet,,Sales,2022-05-12,2024-05-16,Retired,336.14,,Apple,Taipei,Non-Compliant,Win 10,3
ASSET_0021,Server,,IT,2022-04-08,2025-05-31,Retired,,,Cisco,Cloud,At Risk,Windows Server 2022,4
ASSET_0022,Laptop,,HR,2025-03-08,2028-05-08,Stock,958.68,2026-04-27,Dell,Other,Compliant,macOS 13,99
ASSET_0023,Laptop,User_054,HR,2021-12-22,2024-02-13,In Use,848.11,2022-12-09,Apple,Taichung,Non-Compliant,macOS 13,4
ASSET_0024,Laptop,User_231,R&D,2025-08-22,2028-09-21,In Use,624.08,2027-08-23,Apple,Hsinchu,Compliant,Win 10,1
ASSET_0025,Monitor,User_031,Finance,2025-06-30,2027-09-09,In Use,179.2,,Lenovo,Taipei,Compliant,,1
ASSET_0026,Laptop,User_079,HR,2021-09-04,2023-11-16,In Use,728.85,2023-09-20,Apple,Other,At Risk,macOS 12,2
ASSET_0027,Server,,R&D,2020-05-26,2023-07-27,Decommissioned,,,Cisco,Hsinchu,Compliant,RHEL 9,2
ASSET_0028,Laptop,User_248,R&D,2021-04-04,2023-03-10,In Use,269.41,2023-04-06,Apple,Other,Non-Compliant,macOS 14,0
ASSET_0029,Desktop,User_100,IT,2021-10-08,2024-11-26,In Use,520.78,2023-09-29,HP,Hsinchu,Non-Compliant,macOS 13,1
ASSET_0030,Monitor,User_051,HR,2024-03-28,2027-06-18,In Use,177.75,,HP,Hsinchu,Compliant,,1
ASSET_0031,Server,User_189,Operations,2024-06-16,2029-08-09,In Use,2219.87,2027-07-30,Cisco,Hsinchu,Compliant,RHEL 9,2
ASSET_0032,Desktop,,IT,2025-02-06,2029-02-26,Stock,,2027-02-16,Apple,Taipei,Compliant,macOS 14,1
ASSET_0033,Laptop,User_090,IT,2024-02-10,2026-04-05,In Use,981.2,2026-02-14,Apple,Taichung,At Risk,macOS 14,3
ASSET_0034,Desktop,User_162,Operations,2025-04-24,2029-04-24,In Use,447.53,2027-05-29,Dell,Other,Compliant,Win 11,2
ASSET_0035,Tablet,User_209,Operations,2024-09-06,2026-09-15,In Use,118.19,2026-09-23,Lenovo,Taichung,Compliant,Win 11,0
ASSET_0036,Laptop,User_245,R&D,2025-11-05,2027-11-29,In Use,279.62,2027-11-28,Lenovo,Taichung,Compliant,macOS 12,0
ASSET_0037,Monitor,User_100,IT,2024-02-11,2026-01-14,In Use,87.4,,Dell,Cloud,Compliant,,0
ASSET_0038,Laptop,User_195,Operations,2023-06-11,2026-08-14,In Use,,2026-06-24,Dell,Other,Compliant,macOS 13,0
ASSET_0039,Server,User_110,IT,2023-11-14,2027-01-11,In Use,2193.48,2025-12-10,HP,Hsinchu,At Risk,Ubuntu 22.04,1
ASSET_0040,Laptop,User_071,HR,2021-11-21,2024-10-30,In Use,661.6,2022-12-08,Dell,Taipei,Non-Compliant,macOS 14,2
ASSET_0041,Monitor,,Finance,2026-02-11,2029-05-11,Stock,151.8,,HP,Taipei,Compliant,,1
ASSET_0042,Laptop,User_275,R&D,2025-08-23,2027-10-26,In Use,333.08,2026-08-06,Apple,Taipei,Compliant,macOS 13,0
ASSET_0043,Server,User_144,IT,2024-07-03,2029-09-14,In Use,2008.78,2025-06-28,HP,Cloud,At Risk,Windows Server 2022,1
ASSET_0044,Desktop,User_039,Finance,2023-08-27,2025-10-27,In Use,418.8,2026-10-10,Lenovo,Hsinchu,Compliant,macOS 13,1
ASSET_0045,Tablet,User_034,Finance,2022-09-07,2023-09-27,In Use,128.45,2023-10-31,Apple,Taipei,At Risk,Win 10,0
ASSET_0046,Laptop,User_255,R&D,2023-02-22,2025-03-29,In Use,477.1,2024-03-20,Apple,Hsinchu,At Risk,macOS 13,1
ASSET_0047,Desktop,,R&D,2021-09-05,2025-08-23,Retired,1242.53,,Lenovo,Hsinchu,Non-Compliant,macOS 12,5
ASSET_0048,Tablet,,Sales,2024-09-23,2025-12-11,Stock,,2026-11-01,Cisco,Taipei,Compliant,Win 11,0
ASSET_0049,Monitor,User_178,Operations,2021-04-22,2024-07-15,In Use,190.0,,Dell,Taichung,At Risk,,2
ASSET_0050,Tablet,User_065,HR,2024-02-18,2026-04-12,In Use,96.57,2026-03-02,HP,Taipei,At Risk,Win 10,0
ASSET_0051,Tablet,,Sales,2024-12-31,2027-01-07,Stock,,2027-01-30,Apple,Other,Compliant,Win 11,0
ASSET_0052,Laptop,User_215,Operations,2024-07-28,2027-08-16,In Use,267.96,2026-09-19,Lenovo,Taipei,Compliant,Win 11,0
ASSET_0053,Tablet,User_288,R&D,2025-12-16,2026-12-15,In Use,235.66,2026-12-03,Apple,Hsinchu,Compliant,Win 10,1
ASSET_0054,Laptop,User_005,Finance,2023-06-02,2026-07-31,In Use,590.77,2025-06-17,Dell,Taipei,At Risk,Win 11,2
ASSET_0055,Laptop,,R&D,2020-04-14,2022-05-29,Decommissioned,,,HP,Hsinchu,Compliant,macOS 14,2
ASSET_0056,Server,User_244,R&D,2025-02-10,2030-02-28,In Use,3499.31,2028-01-24,Cisco,Cloud,Compliant,RHEL 9,3
ASSET_0057,Laptop,User_072,HR,2024-02-05,2027-01-31,In Use,475.99,2025-02-27,Dell,Taichung,At Risk,macOS 14,1
ASSET_0058,Tablet,User_178,Operations,2024-10-19,2025-12-28,In Use,409.23,2026-11-25,Apple,Taichung,Compliant,Win 11,3
ASSET_0059,Server,User_195,Operations,2021-02-17,2025-05-17,In Use,1103.92,2022-03-27,HP,Cloud,At Risk,RHEL 9,0
ASSET_0060,Tablet,,Sales,2024-04-22,2026-04-26,Stock,236.52,2025-05-22,Apple,Hsinchu,At Risk,Win 11,1
ASSET_0061,Laptop,User_340,Sales,2021-08-29,2023-10-22,In Use,485.86,2022-09-25,Apple,Taipei,At Risk,Win 11,1
ASSET_0062,Server,,R&D,2020-01-09,2024-03-30,Retired,5002.64,,Cisco,Hsinchu,At Risk,Ubuntu 22.04,4
ASSET_0063,Laptop,User_327,Sales,2021-04-11,2023-03-27,In Use,641.13,2023-03-25,Apple,Taichung,At Risk,macOS 12,2
ASSET_0064,Tablet,User_136,IT,2023-08-08,2025-11-01,In Use,272.79,2024-08-18,Apple,Taichung,At Risk,Win 11,1
ASSET_0065,Laptop,User_062,HR,2023-02-02,2025-03-12,In Use,,2025-02-02,Dell,Taipei,At Risk,Win 11,2
ASSET_0066,Server,,Finance,2021-12-27,2027-01-06,Decommissioned,4024.43,,Cisco,Taipei,At Risk,Windows Server 2022,4
ASSET_0067,Laptop,User_068,HR,2025-05-22,2028-08-04,In Use,238.07,2028-07-09,Apple,Taipei,Compliant,Win 10,0
ASSET_0068,Laptop,User_286,R&D,2024-12-20,2028-02-21,In Use,927.36,2027-12-20,Apple,Hsinchu,Compliant,Win 11,3
ASSET_0069,Tablet,User_080,HR,2025-06-17,2027-07-11,In Use,186.36,2026-06-10,Apple,Other,Compliant,Win 11,1
ASSET_0070,Laptop,User_062,HR,2023-09-20,2025-12-14,In Use,455.12,2026-09-06,Apple,Other,Compliant,macOS 13,1
ASSET_0071,Desktop,User_002,Finance,2021-01-02,2023-01-21,In Use,236.91,2022-02-11,HP,Other,At Risk,Win 11,0
ASSET_0072,Desktop,User_044,Finance,2022-03-18,2026-02-18,In Use,689.23,2023-04-13,HP,Other,At Risk,macOS 13,3
ASSET_0073,Desktop,,IT,2024-12-30,2028-12-25,Retired,,,Dell,Other,At Risk,Win 10,0
ASSET_0074,Laptop,User_343,Sales,2021-08-14,2024-08-11,In Use,,2022-08-30,Apple,Taipei,At Risk,Win 11,2
ASSET_0075,Laptop,User_178,Operations,2025-06-16,2027-08-24,In Use,1065.27,2026-06-10,HP,Taichung,At Risk,Win 10,4
ASSET_0076,Desktop,,Finance,2024-06-20,2028-07-11,Retired,569.93,,Lenovo,Taipei,At Risk,macOS 14,3
ASSET_0077,Laptop,,Sales,2020-05-01,2023-04-25,Retired,1154.94,,Lenovo,Taichung,Non-Compliant,macOS 14,4
ASSET_0078,Desktop,User_099,IT,2021-05-05,2024-04-19,In Use,475.23,2022-06-22,Dell,Taichung,Non-Compliant,macOS 13,1
ASSET_0079,Laptop,User_073,HR,2025-03-15,2027-03-28,In Use,226.46,2026-05-04,Apple,Taipei,Compliant,Win 11,0
ASSET_0080,Monitor,User_183,Operations,2023-01-18,2026-04-06,In Use,245.25,,Dell,Taichung,Compliant,,3
ASSET_0081,Desktop,,Operations,2021-01-11,2023-02-19,Decommissioned,1131.16,,HP,Hsinchu,Compliant,Win 10,5
ASSET_0082,Laptop,User_053,HR,2023-02-07,2025-01-14,In Use,1598.57,2025-03-03,Dell,Taipei,At Risk,macOS 12,6
ASSET_0083,Laptop,User_158,Operations,2022-09-16,2025-09-16,In Use,789.61,2025-11-07,HP,Taichung,At Risk,macOS 14,3
ASSET_0084,Laptop,User_359,Sales,2023-08-29,2026-10-25,In Use,619.81,2024-09-20,Lenovo,Other,At Risk,Win 11,1
ASSET_0085,Desktop,,Operations,2020-04-21,2023-07-06,Decommissioned,395.97,,Apple,Taichung,At Risk,Win 11,1
ASSET_0086,Tablet,User_067,HR,2021-01-21,2023-03-01,In Use,225.94,2023-02-05,Dell,Taipei,At Risk,Win 11,1
ASSET_0087,Monitor,,R&D,2023-04-06,2025-06-01,Retired,176.78,,HP,Taipei,At Risk,,1
ASSET_0088,Tablet,User_080,HR,2024-06-22,2026-06-25,In Use,,2026-08-21,Lenovo,Taipei,Compliant,Win 10,1
ASSET_0089,Laptop,User_059,HR,2023-10-05,2025-12-16,In Use,1012.67,2025-10-23,HP,Taichung,At Risk,macOS 12,3
ASSET_0090,Tablet,User_004,Finance,2023-09-24,2025-10-13,In Use,288.89,2025-10-27,Apple,Hsinchu,At Risk,Win 11,2
ASSET_0091,Server,User_260,R&D,2021-07-06,2024-08-20,In Use,3111.04,2023-07-21,Lenovo,Hsinchu,Non-Compliant,Ubuntu 22.04,3
ASSET_0092,Tablet,User_321,Sales,2025-11-21,2028-02-08,In Use,188.97,2026-12-27,Lenovo,Taipei,Compliant,Win 11,1
ASSET_0093,Laptop,User_258,R&D,2023-06-13,2025-07-15,In Use,907.13,2025-07-19,Lenovo,Taipei,At Risk,macOS 13,3
ASSET_0094,Tablet,User_010,Finance,2024-01-23,2026-01-07,In Use,166.05,2026-01-11,Apple,Taichung,At Risk,Win 10,1
ASSET_0095,Tablet,User_343,Sales,2025-07-13,2027-07-01,In Use,154.13,2026-08-26,Apple,Hsinchu,Compliant,Win 10,0
ASSET_0096,Tablet,,Sales,2021-04-18,2023-05-29,Retired,335.16,,Lenovo,Other,At Risk,Win 11,3
ASSET_0097,Server,User_109,IT,2023-11-01,2028-10-04,In Use,4241.55,2026-10-31,Lenovo,Cloud,At Risk,Windows Server 2022,4
ASSET_0098,Laptop,User_191,Operations,2025-10-22,2027-11-01,In Use,285.72,2027-10-25,Apple,Taichung,Compliant,Win 10,0
ASSET_0099,Laptop,User_163,Operations,2023-10-02,2026-09-08,In Use,784.89,2025-11-08,Lenovo,Taichung,At Risk,macOS 13,3
